training,test
295.79944821675616,251.60351242065428
226.204890721639,219.16058563232423
212.73212560017905,209.24098358154296
204.737029876709,202.15913513183594
198.15560254414876,196.33931869506836
192.77924573262533,191.79149688720702
188.7603067779541,187.66765228271484
185.77853619893392,185.55317321777343
183.22719548543293,182.8102375793457
181.2263224029541,182.29918533325196
179.48006998697917,179.64983154296874
177.90604751586915,178.33719116210938
176.29665354410807,176.77598770141603
174.86496180216471,175.17331604003905
173.49499084472657,174.10019165039063
172.2332782236735,172.71817169189453
171.1304549153646,171.90197631835937
170.0406234486898,170.6372819519043
169.010927734375,169.52198532104492
168.11928777058918,169.6789028930664
167.20442337036133,168.20533752441406
166.3994447072347,167.103663482666
165.69781875610352,167.04371368408204
164.9584177907308,166.57392349243165
164.35016876220703,165.73535232543946
163.78020596822103,165.6045034790039
163.25539393107096,165.04064178466797
162.732965927124,163.88939102172853
162.2327008565267,164.09463638305664
161.6568376413981,164.27923385620116
161.14916882832844,162.76644424438476
160.63728243509928,162.33413314819336
160.34219823201497,162.39719146728515
159.8394832611084,162.17950607299804
159.4724866994222,161.14355422973634
159.07393809000652,161.2227633666992
158.688724899292,160.56738662719727
158.32908109029134,160.11014099121093
158.01617802937827,160.9035610961914
157.63627459208172,159.86529861450197
157.36198234558105,159.12100341796875
156.98040036519367,159.0269204711914
156.65516194661458,159.20290649414062
156.28342206319172,158.6813201904297
156.01321632385253,158.31600296020508
155.76901021321615,157.90205368041993
155.40791735331217,157.99933959960939
155.16749740600585,157.33798629760742
154.9516931406657,157.3967150878906
154.73663396199544,157.53834930419922
154.52616503397624,157.1257699584961
154.1932809193929,156.9029524230957
154.0175643412272,156.73552627563475
153.74476069132487,156.28446868896484
153.4712723795573,156.08571975708008
153.29810241699218,156.81175903320312
153.09459854125976,156.06466827392578
152.87926022847495,156.18224227905273
152.6295844523112,155.42686126708983
152.3483492787679,155.42194305419923
152.23312927246093,155.3738984680176
152.01608998616535,155.5826710510254
151.86263582865396,154.92061080932618
151.7256915283203,155.1461280822754
151.44100463867187,154.77733139038085
151.27549509684243,154.52608200073243
151.06416564941406,154.7669285583496
150.92181854248048,154.47660354614257
150.7156748199463,154.3268588256836
150.52865681966145,154.2305891418457
150.38279679616292,153.85126342773438
150.24270365397135,154.2367707824707
150.1466818745931,154.08143203735352
150.0107351175944,153.60738052368163
149.8906812286377,153.6476498413086
149.71143871307373,154.34339492797852
149.5578630320231,155.86193603515625
149.37217311859132,153.5682159423828
149.28729131062826,153.80991455078126
149.13814254760743,153.2310626220703
148.96070421854654,153.29595169067383
148.80515299479165,153.12736968994142
148.65430068969727,153.27053024291993
148.48692192077635,153.09872817993164
148.36304017384847,153.49526443481446
148.32753410339356,153.3281851196289
148.09209518432618,153.21556701660157
147.96527205149332,153.8047088623047
147.87363201141358,153.12099334716797
147.75328411102294,152.75250091552735
147.640970954895,153.08446807861327
147.5478040568034,152.60565536499024
147.54810338338217,152.75806335449218
147.40675252278646,152.97275161743164
147.41694978078206,153.05626373291017
147.3839666112264,152.9342626953125
147.37806825002033,152.9862222290039
147.22352429707846,153.73725173950194
147.01929784138997,152.5699722290039
146.95061714172363,152.82874084472655
146.79117646535238,153.1398567199707
146.55847666422525,152.80065490722657
146.45885794321697,152.37214752197266
146.2809242630005,152.50149200439452
146.1494066619873,153.0170149230957
146.0568286641439,152.6213577270508
145.9488993326823,152.093048248291
145.80472351074218,152.0271957397461
145.7239722188314,152.55382110595704
145.6130018234253,152.10673751831055
145.4755658976237,152.04663848876953
145.43665430704752,152.30368881225587
145.348094329834,153.1833808898926
145.22985986073812,152.08774505615236
145.21111094156902,152.7369093322754
145.19174695332845,153.40360290527343
145.23124875386557,152.3434046936035
145.19134694417318,152.6882766723633
145.23229564666747,153.2813116455078
145.13872047424317,153.05127731323242
145.04987855275473,153.26554626464844
144.75791960398357,152.78869537353515
144.79133472442626,153.35512069702148
144.68804920196533,154.09027877807617
144.70990640004476,154.31058486938477
