training,test
282.5234779103597,257.45908203125
222.43543563842775,206.57193908691406
200.8844589742025,197.41594848632812
193.99418266296388,192.6335775756836
190.05943557739258,189.54315399169923
186.7106942240397,185.64692184448242
182.76395807902017,181.92960327148438
177.57542900085448,176.33151550292968
173.54148259480795,173.1043472290039
171.0148834482829,171.27122787475585
169.3400094350179,169.74127853393554
168.19630594889324,168.84992889404296
167.29987970987955,167.9551803588867
166.5243760426839,167.19422927856445
165.89472061157227,166.88590957641603
165.34856913248697,166.22273056030272
164.84231854756672,165.77724655151368
164.3653214263916,165.07784606933595
163.94598431905112,164.74263259887695
163.52377568562827,164.4569920349121
163.13987007141114,164.5128123474121
162.7889193471273,163.70232650756836
162.46486137390136,163.84953918457032
162.11602282206218,163.28171966552733
161.78878748575846,162.6519061279297
161.52165303548176,162.6111782836914
161.215109761556,162.10361404418944
160.94923517862955,161.9893782043457
160.6884318033854,161.69637222290038
160.42385821024575,161.29756271362305
160.15363873799643,161.10834045410155
159.91394574483235,160.85934677124024
159.69790720621745,160.5745359802246
159.4393505605062,160.60462448120117
159.19881047566733,160.43555618286132
158.98685712178548,160.0986134338379
158.7931184132894,159.73258422851563
158.5419420115153,159.5909622192383
158.39434969584147,159.4267443847656
158.1790064239502,159.19030044555663
157.96218236287436,158.92149826049805
157.7827229309082,158.82821563720702
157.64731132507325,158.65072036743163
157.45388292948405,158.37941497802734
157.27881301879881,158.1959373474121
157.13621406555177,158.04349243164063
156.9448355102539,158.00414825439452
156.78290868123372,157.63271835327149
156.66766998291016,157.61816864013673
156.5305672454834,157.25608505249022
156.33819819132486,157.45986877441408
156.21254432678222,157.25216018676758
156.06294886271158,157.1072462463379
155.91457410176596,156.84398864746095
155.78730056762694,156.8984523010254
155.6281556447347,156.6430758666992
155.48993031819663,156.53046310424804
155.3789321899414,156.35181564331054
155.21946993509928,156.3371516418457
155.07720209757488,156.30343566894533
154.951324412028,156.00278732299805
154.85097615559897,155.95947296142577
154.70407887776693,155.64817733764647
154.53243876139322,155.7111199951172
154.43919057210286,155.71652236938476
154.31145820617675,155.39461669921874
154.19070495605467,155.36016815185548
154.0492125193278,155.11206832885742
153.9536383310954,155.26558319091797
153.82307655334472,155.0351643371582
153.6809057108561,154.83907806396485
153.56053657531737,154.65899444580077
153.46209162394206,154.79487396240233
153.32524030049643,154.44907623291016
153.2246883392334,154.4771563720703
153.09668622334797,154.43831649780273
152.9802766164144,154.29258255004882
152.84902488708497,154.30167816162108
152.74981808980306,154.19204544067384
152.63717135111492,153.9964921569824
152.5011210378011,153.98096237182617
152.41140904744466,153.7395770263672
152.29222211201986,153.94290969848632
152.17698877970378,153.69876052856446
152.07992261250814,153.66390365600586
151.98572420756022,153.40790267944337
151.8768827311198,153.32786254882814
151.76493771870932,153.18461837768555
151.61744740804036,153.14926864624024
151.52982541402181,153.15674041748048
151.40852584838868,152.97953994750978
151.31140009562174,153.1215835571289
151.21262316385904,152.9059294128418
151.10403177897135,152.60682373046876
150.99110104878744,152.64136795043945
150.88986234029133,152.56733047485352
150.79858225504557,152.65033233642578
150.71592727661132,152.35499649047853
150.60778828938803,152.52483947753908
150.49767367045084,152.34409164428712
150.42066561381023,152.18729751586915
150.2941447957357,152.44431671142578
150.1996304321289,152.06331954956056
150.0957676188151,152.03512161254883
150.00897567749024,151.9536161804199
149.90526306152344,151.8572412109375
149.8251180267334,152.14571350097657
149.71710403442384,151.7153463745117
149.6192886606852,151.7962503051758
149.5499599202474,151.8717874145508
149.4571503194173,151.7786653137207
149.34588114420572,151.74321594238282
149.25628733317058,151.4601445007324
149.15587814331056,151.67161834716796
149.11246355692546,151.4375015258789
148.98457784016927,151.41659622192384
148.91546297709147,151.34858093261718
148.8178741455078,151.22823760986327
148.73835688273113,151.19953567504882
148.62352147420248,151.35171478271485
148.58728612263997,151.10361358642578
148.47201477050783,151.1677618408203
148.40706481933594,150.92604690551758
148.33416445414224,151.14776977539063
148.26145853678386,150.89402740478516
148.18158983866374,150.926005859375
148.07014381408692,150.9178564453125
148.0088670349121,150.85980369567872
147.95800852457683,150.75803497314453
147.8524461110433,150.64678924560548
147.76396525065104,150.86789764404296
147.64106000264485,150.70786323547364
147.5810215250651,150.70038208007813
147.5232947540283,150.70958587646484
