training,test
258.5420254007975,223.54546173095704
215.80869023640952,205.14844985961915
198.96161758422852,197.28271392822265
195.43304562886556,195.05289688110352
193.81395286560058,193.75080047607423
192.68820157368978,192.74929870605467
191.7287740580241,191.92688583374024
190.89460680643717,191.0952589416504
190.1374316151937,190.28154220581055
189.44416361490886,189.7650538635254
188.7416948445638,188.9979277038574
188.11338562011719,188.42131103515624
187.525027923584,187.94569427490234
186.9412619527181,187.47091110229493
186.3898752339681,186.881082611084
185.8616596476237,186.5171954345703
185.3601171875,186.06152725219727
184.8883270517985,185.63108993530273
184.39082349141438,185.08526473999024
183.92798538208007,184.67718078613282
183.45393664042155,184.25915054321288
183.04623809814453,183.90600173950196
182.626470896403,183.647911529541
182.24536173502605,183.222257232666
181.83517768859863,182.83735778808594
181.48109784444173,182.53941558837892
181.13596336364745,182.29036071777344
180.76695622762045,181.89111083984375
180.44042526245119,181.68588455200197
180.1694091542562,181.66588989257812
179.8485474141439,181.30456665039063
179.57258827209472,181.02467132568358
179.30099703470867,180.75773818969728
179.01485422770182,180.59947631835936
178.80206982930503,180.34588821411134
178.55412562052408,180.24840942382812
178.31533579508462,179.9365382385254
178.1126534016927,179.8656997680664
177.87586657206217,179.7160366821289
177.68711585998534,179.48804794311525
177.48929049173992,179.42252349853516
177.29355054219565,179.28369964599608
177.10009455362956,179.17247375488282
176.92802721659342,178.99464782714844
176.72658498128254,178.9477867126465
176.56119298299154,178.76011474609376
176.4273563639323,178.67373779296875
176.23090558369955,178.57705505371095
176.1111836496989,178.37834625244142
175.93924647013347,178.852599029541
175.78814453125,178.44417297363282
175.63614850362143,178.50250762939453
175.50711550394695,178.19493530273436
175.37809221903484,178.1328746032715
175.2650380706787,178.00936737060547
175.13472190856933,177.70994918823243
174.99107042948404,177.7576985168457
174.85667137145995,177.62729675292968
174.73937502543131,177.81819229125978
174.59537752787273,177.54284439086913
174.508609085083,177.32970336914062
174.44048212687176,177.15349700927734
174.285311126709,177.19814163208008
174.17403251647949,177.00684967041016
174.08357002258302,176.89983657836913
173.9771778869629,176.88868347167968
173.87763468424478,177.01741775512696
173.796048634847,176.9506736755371
173.6738626352946,177.4332763671875
173.56367327372234,176.89656784057618
173.47140652974446,176.71878356933593
173.34080037434896,176.53451263427735
173.23895505269368,176.62093505859374
173.14793126424155,176.53357620239257
173.03383247375487,176.45900955200196
172.97149676005046,176.30907592773437
172.86324935913086,176.45463455200195
172.7508630625407,176.4800177001953
172.69441848754883,176.40122344970703
172.61066673278808,176.29391662597655
172.52820762634278,176.2733592224121
172.47338808695474,176.03083099365233
172.399234568278,176.5144921875
172.32972783406575,176.3114906311035
172.26634356180827,176.4031135559082
172.1902805074056,176.04163421630858
172.0991239674886,175.81440216064453
172.01892606099446,175.93236328125
171.9523242441813,176.0498831176758
171.88113680521647,175.74018997192383
171.7939985148112,175.74067337036132
171.69403493245443,175.74940277099608
171.6408214823405,175.72155670166015
171.60008326212565,175.70202728271485
171.49406374613443,175.70437744140625
171.43810201009114,175.7148457336426
171.34090545654297,175.58801879882813
171.3122413635254,175.7357862854004
171.22915168762208,175.74926208496095
171.1550294494629,175.603916015625
171.11168655395508,175.60518936157226
171.040013961792,175.4659031677246
171.0122031656901,175.50062149047852
170.98931332906088,175.56872680664063
170.9312197113037,175.456268157959
170.8192162068685,175.50331649780273
170.77900690714517,175.50243957519533
170.6942241160075,175.4243440246582
170.63850463867186,175.3245999145508
170.58868456522623,175.41909988403322
170.5561903635661,175.3442283630371
170.47078262329103,175.3613803100586
170.44748461405436,175.44599105834962
170.46722208658855,175.39532272338866
170.4150042215983,175.29939666748047
170.30222844441732,175.3026856994629
170.23331494649253,175.3759130859375
170.18780616760253,175.30658325195313
170.11894632975262,175.1058190917969
170.0458592224121,175.22819564819335
169.98219299316406,175.15213943481444
169.8936855061849,175.05306716918946
169.82147036234537,175.10481643676758
169.8042514292399,175.17717071533204
169.71586585998534,175.1233432006836
169.66546007792155,175.26141326904298
169.63157877604166,175.03807922363282
169.56048840840657,175.1120785522461
169.53867309570313,175.05017944335938
169.4860376739502,175.23546905517577
169.4494699859619,175.33125137329102
169.43597666422525,175.0178193664551
169.3743364461263,175.05131896972657
169.33101587931316,175.24305435180665
169.2903872680664,175.08798126220702
169.30022415161133,175.136181640625
169.30540397644043,175.07909530639648
169.31578282674153,175.44603622436523
169.26502723693847,175.59124237060547
169.21916041056315,175.10226928710938
169.1312505086263,175.01942230224608
169.09348729451497,175.19773544311522
169.02498034159342,174.9992140197754
168.96622835795085,174.88892684936525
168.8663916015625,174.94247436523438
168.7690634918213,174.85780319213868
168.69941464742024,174.88556823730468
168.64447980244955,175.02204010009766
168.6025068918864,174.98625122070314
168.55561787923176,175.01264739990233
168.50021174112956,174.89126571655274
168.45562464396158,174.97803146362304
168.42546635945638,175.039764251709
168.36536160786946,175.0134442138672
168.33603439331054,174.91430450439452
168.27792719523111,174.94733581542968
168.24227254231772,174.89632629394532
168.16752978007,174.8993975830078
168.15814392089842,174.90051315307616
168.1296233113607,175.0818377685547
168.1172696685791,174.98139846801757
168.0585614267985,174.9975650024414
168.00313176472983,174.94507751464843
167.95916450500488,175.04614013671875
167.93861323038738,175.03969451904297
167.89873438517253,175.0031982421875
167.8851416015625,175.28071563720704
167.85663902282715,175.4169483947754
167.8219716644287,175.0662466430664
167.83234428405763,175.39680465698243
167.91646926879883,175.08140518188478
168.14394836425782,175.18516754150392
168.1702914683024,175.20440322875976
168.0012916056315,174.91448898315429
167.88083590189615,174.94326232910157
167.77394017537435,175.0240769958496
167.64612983703614,175.0528855895996
167.57123514811198,174.93742248535156
