training,test
251.173359858195,227.2673631286621
216.9575222269694,203.78419143676757
196.0618542734782,189.51463073730469
182.73442085266115,177.0214338684082
173.14651069641113,169.3363380432129
167.52150736490884,165.12037048339843
163.7875919342041,161.76500152587892
160.72146530151366,159.0340412902832
158.18950024922688,156.87133422851562
156.08942525227866,154.85901657104492
154.27678766886393,153.2495068359375
152.6263589223226,151.90204467773438
151.17435111999512,150.29306411743164
149.89102127075196,149.08941818237304
148.6520696258545,148.1581867980957
147.57168159484863,147.30169876098634
146.6345177968343,146.0016389465332
145.74534726460774,145.38821533203125
144.91943514506022,144.42680618286133
144.1789252726237,144.01784683227538
143.47556317647297,143.25841918945312
142.85990381876627,142.87467224121093
142.2640185801188,142.04964904785157
141.72154560089112,141.62936195373535
141.19885300954184,141.35437622070313
140.7128546524048,140.628969039917
140.24889152526856,140.19262107849121
139.80580403645834,140.0933209991455
139.4457704671224,139.50225814819336
139.0419306564331,139.22053382873534
138.638814608256,138.81762245178223
138.29625322977702,138.54731704711915
137.9716156387329,138.06177848815918
137.608478418986,137.9994101715088
137.3236380513509,137.61541877746583
137.00900952657065,137.30871055603026
136.72294525146484,136.97854400634765
136.42043811798095,136.86614669799803
136.1705468114217,136.51734184265138
135.8774788792928,136.36846580505372
135.58917700449626,136.2621413421631
135.3660247039795,135.8847685241699
135.10868848164876,135.62509185791015
134.86569080352783,135.4683046722412
134.64849778493246,135.20779296875
134.43250027974446,135.1137718963623
134.22199492136636,134.87417572021485
134.00352498372396,134.63469764709473
133.80529619852703,134.77441368103027
133.5856074142456,134.21658988952638
133.39112897237143,134.20636337280274
133.201855951945,133.99796188354492
133.00516908009848,133.68197456359863
132.8108673731486,133.67289924621582
132.65960346221925,133.5132470703125
132.44852650960286,133.40722129821776
132.3038654836019,133.21390312194825
132.10679576873778,133.1676184082031
131.9822052383423,132.94045211791993
131.7626781463623,132.91554817199707
131.61668866475424,132.71061500549317
131.47046181996663,132.55350479125977
131.32715653737387,132.3690731048584
