training,test
297.93287071228025,261.4169789123535
222.6814170074463,208.254365234375
200.90233207702636,195.93924530029298
190.12828420003254,185.8054800415039
179.6015214029948,174.77382446289062
170.65300615946452,167.7509338378906
165.37324099222818,163.75797012329102
161.92503916422527,160.8793943786621
159.24867952982584,158.77303314208984
156.8230696105957,156.24559326171874
154.55864514668784,153.772451171875
152.4109043375651,151.99529891967774
150.3880106862386,150.10066635131835
148.5211707051595,148.55281646728517
146.79157262166342,146.42696334838868
145.21305054982503,145.27343498229982
143.74604248046876,144.24513069152832
142.43313800811768,143.2528034210205
141.19201344807942,141.3408344268799
140.00956995646158,140.3480210876465
138.9315331776937,139.45223373413086
137.9119713083903,138.31419136047364
136.92966225941976,137.07254386901855
136.06296306610108,136.5088671875
135.15393945058187,135.19234886169434
134.34403884887695,134.90966789245604
133.6105758666992,134.1127488708496
132.86144922892254,133.3783620452881
132.23982217152914,132.56294242858885
131.5572543843587,131.67838912963867
131.00838629404703,131.3058103942871
130.39934171040852,130.7794024658203
129.86101446787515,130.46136039733886
129.4082154973348,129.4568891143799
128.90617827097574,129.06114448547362
128.40997131347658,128.49197731018066
127.97957293192546,128.6078781890869
127.55223139444988,127.97556678771973
127.15188171386718,127.32261962890625
126.726494140625,127.19511795043945
126.3593748219808,126.36425605773925
125.99837799072266,126.2053118133545
125.62334827423096,126.32297012329101
125.2510913848877,125.43301544189453
124.97585117340088,125.67671424865722
124.6438223139445,125.01546890258788
124.33288455963135,124.75795372009277
123.9986222076416,124.77052185058594
123.75648965199788,124.04005424499512
123.445764503479,123.93850784301758
123.1704605102539,123.43542465209961
122.9486706161499,123.36909294128418
122.68635007222494,123.10755531311035
122.4290126546224,123.08514106750488
122.15889350891113,122.8379759979248
121.94061491648357,122.31943984985351
121.75109823862712,122.36272575378418
121.51470918019612,122.1466104888916
121.3031400680542,121.87695861816407
121.08288970947265,121.44626190185546
120.918569577535,121.37105583190917
120.71921187082927,121.21494400024415
120.52145534515381,120.8346157836914
120.33467521667481,120.88200370788574
120.16879077911376,121.05223945617676
119.96128529866536,120.50678573608398
119.82970213572185,120.32893165588379
119.66480113983154,120.36888122558594
119.47837910970053,120.08658752441406
119.33117796579997,119.87457221984863
119.17633851369222,119.81838661193848
119.01677012125651,119.81735816955566
118.8866300837199,119.55033256530761
118.75303389231364,119.45041564941407
118.61808625539143,119.4119149017334
118.47129628499349,119.40554275512696
118.3499583307902,119.12177139282227
118.21942040761311,119.23188110351562
118.09589944203695,118.79025535583496
117.95624565124511,118.9087606048584
117.83754709879557,118.69829322814941
117.72618985493978,118.88196464538574
117.60057348887126,118.53124374389648
117.480451075236,118.35058395385742
117.38592477162679,118.51589553833008
117.28790908813477,118.23337249755859
117.13842847188313,118.21107933044433
117.06272843678792,118.27990898132325
116.94113910675048,118.08379783630372
116.85938453674316,118.03074882507325
116.74525062561035,117.85275276184082
116.63833525339763,117.85806007385254
116.54383183797201,117.70321426391601
116.4586424255371,117.70534294128419
116.34690832773845,117.63592094421386
116.25917860666911,117.55343994140625
116.17522022247314,117.60292022705079
116.08553353627522,117.23397872924805
115.96742047627767,117.31734092712402
115.93353675842285,117.22976272583008
115.835551516215,117.12847328186035
115.74343779246013,117.15086669921875
115.67143646240234,116.96386543273925
115.58917390187581,117.0097834777832
115.51751164754232,116.96018669128418
115.42729784647624,117.06431495666504
115.36034924825033,116.87469764709472
115.26463152567545,116.77200958251953
115.19782079060873,116.97821891784668
115.12695860544841,116.87345054626465
115.06411858876547,116.64660568237305
114.95383570353191,116.68086608886719
114.9067315419515,116.57396934509278
114.84876365661621,116.5308235168457
114.7640915298462,116.42274307250976
114.71751318613688,116.47150047302246
114.65957410176595,116.35564132690429
114.57116695404052,116.42762336730956
114.51410886128744,116.19703147888184
114.44612856547037,116.2227793121338
114.38267786661784,116.19360740661621
114.30199900309245,116.0362564086914
114.27173851013184,116.09740821838379
114.19858812967937,115.93735343933105
114.15113510131836,115.97435874938965
114.08819636027019,116.04554595947266
114.01727503458659,115.93086730957032
113.96172393798828,115.93766326904297
113.90568944295248,116.03343635559082
113.8616488901774,115.78237655639649
113.80476902008057,115.98320793151855
113.75057215372722,115.76280509948731
113.68018492380779,115.88005470275878
113.62067254384358,115.83425636291504
113.60016918182373,115.5808494567871
113.51945568084717,115.76417701721192
113.45483153025309,115.43598823547363
113.40735516866049,115.56535949707032
113.35295013427735,115.48818267822266
113.30226977030436,115.41718467712403
113.26354220072429,115.3696898651123
113.21797990163168,115.26961975097656
113.16930423736572,115.38309349060059
113.09301294962565,115.34126945495605
113.05093275705973,115.28945526123047
113.01111362457276,115.4467253112793
112.97227310180664,115.35038696289062
112.92326566060385,115.42238166809082
112.84520928700765,115.15113639831543
112.83138404846191,115.14248260498047
112.79049293518067,115.13565505981445
112.75216514587402,115.25312492370605
112.67989253997803,115.26481727600098
112.66965947469076,115.50235244750976
112.6054644393921,115.10734298706055
112.55206953684488,115.37675918579102
112.49523728688558,115.21748634338378
112.46135331471761,115.04114418029785
112.4421454747518,114.95347381591797
112.41021024068196,115.26154243469239
112.33011876424153,115.12613555908203
112.26552485148112,115.12226165771484
112.26817255655925,115.03449974060058
112.22770740509033,115.330107421875
112.20022846221924,115.20076507568359
112.1536933263143,114.90064361572266
112.06527390797933,114.97955307006836
112.06641890207926,114.95229644775391
112.00639424641928,114.85876426696777
111.96461877187093,114.80520812988281
111.95531725565593,114.93741058349609
111.88924875895182,114.68660285949707
111.8990909576416,114.6965264892578
111.80640410105387,114.8149493408203
111.80721945444743,114.6411011505127
111.73822268168132,114.53475311279297
111.72121320088705,114.70781883239746
111.65892801920573,114.85290756225587
111.63576403299967,114.66403770446777
111.6196178817749,114.87184265136719
111.57832959493001,114.54938636779785
111.5426158396403,114.87011734008789
111.48224226633708,114.63244186401367
111.45988557179768,114.60258857727051
111.44299290974935,114.8319605255127
111.39729263305664,114.58567665100098
111.36142211914063,114.56922142028809
111.34353103637696,114.44113777160645
111.31900369008382,114.68966613769531
111.29607507069906,114.4706061553955
111.22498430887858,114.64149703979493
111.24447812398274,114.81736740112305
111.18675912221273,114.88783782958984
111.14524033864339,114.36567810058594
111.08714191436768,114.53235023498536
111.09803193410238,114.4128800201416
111.0431400680542,114.28840827941895
111.01730581919352,114.47803413391114
111.00627302805583,114.4274494934082
110.94284556070964,114.53825271606445
