training,test
222.64377655029296,194.62345901489257
178.20222854614258,161.46315078735353
155.91066421508788,150.9796612548828
148.03372230529786,145.04263160705565
142.83957206726075,140.79212692260742
139.20079792022705,137.86202209472657
136.55596360524495,135.32112663269044
134.5462296930949,133.64605911254884
132.93335631052653,132.51311340332032
131.60640099843343,130.9306802368164
130.50203402201333,130.01735229492186
129.53687774658204,129.20178047180175
128.68891525268555,128.37241973876954
127.94974914550781,127.70143547058106
127.3220198059082,127.1343115234375
126.65376187642416,126.6420352935791
126.12488301595052,126.27741027832032
125.64728556315104,125.65810165405273
125.16921202341716,125.29507179260254
124.74967376708985,124.67132148742675
124.32843835194906,124.55370719909668
123.93812325795491,124.11433349609375
123.58817932128906,123.89949867248535
123.23081067403157,123.58363174438476
122.92521844228109,123.22212425231933
122.59421080271403,122.99840713500977
122.32296175638835,122.83500640869141
122.0301178741455,122.39067771911621
121.77209088643392,122.27561065673828
121.52239363352457,122.03668212890625
121.25268267313639,121.79294494628907
121.0269692103068,121.51199989318847
120.77719932556153,121.32437774658203
120.55216588338216,121.19250251770019
120.31875321706136,120.93364219665527
120.14484605153402,120.70972999572754
119.92139322916667,120.64413688659668
119.7493231455485,120.72360122680664
119.53471499125163,120.28868400573731
119.35164721171061,120.22042053222657
119.18341025034587,119.9601309967041
118.99245519002278,119.7104335784912
118.82969971974691,119.70820495605469
118.67573012034099,119.51403533935547
118.47950308481852,119.42439575195313
118.31213013966878,119.2476847076416
118.15752360026042,119.06012168884277
118.02442984263102,118.89197914123535
117.86551069895427,119.04087768554687
117.73016366322835,118.66429595947265
117.58337793986003,118.59289459228516
117.43468696594238,118.5620726776123
117.34178757985433,118.50665756225585
117.17376672108968,118.16400054931641
117.06300971984864,118.22564651489257
116.91971590677898,118.14310928344726
116.80225472768147,118.01004653930664
116.67082007090251,117.75631790161133
116.55626892089843,117.89789726257324
116.45919348398844,117.4883261871338
116.33480346679687,117.47711166381836
116.22983467102051,117.6253419494629
116.11092873891195,117.47008544921874
116.02954363505046,117.24184707641602
115.93605102539063,117.12739715576171
115.82685775756836,117.37077270507812
115.71970498402914,117.04437133789062
115.61639490763346,117.08497329711913
115.47568355560303,116.95398910522461
115.39841556549072,116.90015716552735
115.32426774342855,116.86950454711913
115.21067979176838,117.06546173095703
115.14297485351562,116.6375136566162
115.06918065388997,116.60553062438964
114.97171005249024,116.7342025756836
114.87138909657796,116.51574829101563
114.80894397735595,116.48538566589356
114.7066412862142,116.28707206726074
114.62059780120849,116.22513824462891
114.547765528361,116.19009483337402
114.46822317759197,116.0408773803711
114.37508752187092,115.93346076965332
114.29836388905844,115.92486534118652
114.22418020884196,116.00612579345703
114.17982357025147,115.93950592041016
114.06714663187662,115.87173683166503
114.0058262761434,115.83136367797852
113.95092217763265,115.77472206115722
113.87982922871907,115.60554794311524
113.78544153849283,115.81735832214355
113.7291704305013,115.72194702148437
113.64140635172527,115.59526672363282
113.5750047302246,115.39461769104004
113.52038881937663,115.5065813446045
113.46973747253418,115.67844200134277
113.40280183156331,115.30838500976563
113.31825394948324,115.27674034118652
113.24509306589762,115.31036598205566
113.19565123240153,115.23486557006837
113.13619036356609,115.1311156463623
113.05646180470785,115.13343948364258
113.01770956675212,115.1662442779541
112.95185448964436,115.05741203308105
112.88424209594727,115.01359725952149
112.85761695861817,114.93904502868652
112.7822421391805,114.91781936645508
112.71242251078287,114.81383087158203
112.63794139862061,114.95606338500977
112.61278144836426,114.74761390686035
112.53237929026285,114.73449966430664
112.47388838450114,114.77095092773438
112.45185358683268,114.95455596923829
112.39700636545817,114.59502914428711
112.30347518920898,114.80276832580566
112.27347984313965,114.52088188171386
112.21831806182861,114.64644332885742
112.16727863311768,114.80437896728516
112.13417907714843,114.57378608703613
112.07228879292806,114.53333358764648
112.01737538655598,114.40908157348633
111.98111879984538,114.53745979309082
111.9285643005371,114.39905181884765
111.87333432515462,114.47330108642578
111.81107109069825,114.35548477172851
111.78402384440105,114.55839073181153
111.7328184890747,114.21385360717774
111.66149992624919,114.26504631042481
111.63177518208822,114.2716143798828
111.60360967000325,114.2662068939209
111.54769430796306,114.27680641174317
111.50235785166423,114.21321876525879
111.44837778727214,114.11688255310058
111.43210633595784,114.14512283325195
111.36099084218343,114.13262664794922
111.33535518646241,114.2400033569336
111.28971888224284,114.16647674560546
111.25880355834961,113.999312210083
111.19896125793457,113.985562210083
111.1576630783081,114.0949732208252
111.13476880391438,114.03267417907715
111.06778338114421,113.99425025939941
111.06649820963541,113.87580200195312
111.0078312810262,113.92884475708007
110.9525491587321,114.12545448303223
110.91779123942057,113.86960815429687
110.86535359700521,113.89121124267578
110.85122445424398,113.93745094299317
110.79907006581624,113.80189079284668
110.75928883870442,113.85878074645996
110.7438487370809,113.7992667388916
110.6781511815389,113.82987564086915
110.63939088185629,113.66701568603516
110.60885206858318,113.6965927886963
110.58001401265462,113.81045486450195
110.53328636169434,113.85624229431153
110.48092711130778,113.79876121520996
110.44458972930909,113.99871513366699
110.41969182332356,113.58080871582031
110.37327131907145,113.68253204345703
110.37276440938314,113.69486236572266
110.33423486073812,113.57526054382325
110.31163443247478,113.805068359375
110.25700010935465,113.87696044921876
110.21434981028239,113.56114219665527
110.16793380737305,113.6622501373291
110.15762702941895,113.61389541625977
110.12511779785156,113.7175975036621
110.09292751312256,113.43003875732421
110.07569524129232,113.49780990600586
110.033634668986,113.6171865081787
109.97361788431803,113.55622779846192
109.94737361907958,113.44429786682129
109.9243453725179,113.36641830444336
109.91012139638265,113.53656105041505
109.86743157704672,113.51502304077148
109.80192042032877,113.5152848815918
109.80614192962646,113.43825386047364
109.77457820892334,113.47418083190918
109.76944103240967,113.73727821350097
109.73226922353109,113.53899765014648
109.68833501180013,113.69783668518066
109.64886693318685,113.27321357727051
109.63047359466553,113.45386985778809
109.58438224792481,113.50966278076172
109.57050135294597,113.37509941101074
109.53605934143066,113.32362503051758
109.49399654388428,113.31249992370606
109.46809204101562,113.3176049041748
109.45162520090739,113.54545486450195
109.44359083811442,113.44906112670898
109.39974815368652,113.61671524047851
109.37482940673829,113.24673385620117
109.35288976033529,113.43214324951173
109.34619197845458,113.3472942352295
109.28383056640625,113.45867973327637
109.28126782735188,113.27907829284668
109.2406218846639,113.20062004089355
109.22846207936605,113.40127639770508
109.19371697743733,113.3011028289795
109.18740450541178,113.30559204101563
